Particulars,Category,Subcategory,matched_term,match_score
local purchase 11/6/25,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 15/12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 17th 18th 19th,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 19th 20th 21st,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 2/2/26,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 23/12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 3/2/26,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
local purchase 5-12-25,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,local purchase,0.92
A C Water Service,MAINTENANCE – SHOP & EQUIPMENT,ac service,ac service,0.7407
A/C service,MAINTENANCE – SHOP & EQUIPMENT,ac service,ac service,0.9524
A/C service n gas charging,MAINTENANCE – SHOP & EQUIPMENT,ac gas charging,ac gas charging,0.7317
A/C switch changing work,MAINTENANCE – SHOP & EQUIPMENT,switch repair,switch repair,0.5405
Ac Repair,MAINTENANCE – SHOP & EQUIPMENT,ac repair,ac repair,1.0
CCTV Advance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,cctv maintenance,0.7143
CCTV Camera install and service,MAINTENANCE – SHOP & EQUIPMENT,cctv installation,cctv installation,0.5833
CCTV Maintenance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,cctv maintenance,1.0
CCTV Maintenance work amount reimbursed to Arjun,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,cctv maintenance,0.92
Chair Welding charges,MAINTENANCE – SHOP & EQUIPMENT,chair welding,chair welding,0.95
Door Closer,MAINTENANCE – SHOP & EQUIPMENT,door closer,door closer,1.0
Door Installation Charges,MAINTENANCE – SHOP & EQUIPMENT,door installation,door installation,0.95
Drinking Water Testing Charges,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,water lab testing,0.6
Electrical Maintanance,MAINTENANCE – SHOP & EQUIPMENT,electrical maintenance,electrical maintenance,0.9545
LED Bulb,MAINTENANCE – SHOP & EQUIPMENT,led bulb,led bulb,1.0
Make Line Repair,MAINTENANCE – SHOP & EQUIPMENT,makeline chiller repair,makeline chiller repair,0.7692
Makeline chiller repair,MAINTENANCE – SHOP & EQUIPMENT,makeline chiller repair,makeline chiller repair,1.0
Mixi Jar Repair,MAINTENANCE – SHOP & EQUIPMENT,mixer jar repair,mixer jar repair,0.9032
Oven Service,MAINTENANCE – SHOP & EQUIPMENT,oven service,oven service,1.0
Paint,MAINTENANCE – SHOP & EQUIPMENT,shutter paint,shutter paint,0.92
Paint for Table and Chair,MAINTENANCE – SHOP & EQUIPMENT,table paint,table paint,0.9
Project work - Maintenance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,cctv maintenance,0.7
RO Machine repair n service,MAINTENANCE – SHOP & EQUIPMENT,ro machine repair,ro machine repair,0.92
Shop Sign Board Cleanimng Charges,MAINTENANCE – SHOP & EQUIPMENT,sign board electric work,sign board electric work,0.5614
TV repair & service,MAINTENANCE – SHOP & EQUIPMENT,oven service,oven service,0.6897
WATER TANK CLEANING,MAINTENANCE – SHOP & EQUIPMENT,water tank cleaning,water tank cleaning,1.0
ajay advance for wooden pizza holder,MAINTENANCE – SHOP & EQUIPMENT,wooden pizza server,wooden pizza server,0.6
cash drawer repair,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,chiller repair,0.6875
cctv power supply,MAINTENANCE – SHOP & EQUIPMENT,cctv power supply,cctv power supply,1.0
chiller condenser motor,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,chiller repair,0.5405
chiller repair,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,chiller repair,1.0
chiller technician,MAINTENANCE – SHOP & EQUIPMENT,deep freezer technician,deep freezer technician,0.6341
dough machine machanic,MAINTENANCE – SHOP & EQUIPMENT,dough machine repair,dough machine repair,0.7619
dough machine repair,MAINTENANCE – SHOP & EQUIPMENT,dough machine repair,dough machine repair,1.0
dough machine repair n transport,MAINTENANCE – SHOP & EQUIPMENT,dough machine repair,dough machine repair,0.92
electric work kitchen,MAINTENANCE – SHOP & EQUIPMENT,kitchen door work,kitchen door work,0.6
electrical work meterial and labour,MAINTENANCE – SHOP & EQUIPMENT,electrical work material labour,electrical work material labour,0.9091
exhaust fan repair,MAINTENANCE – SHOP & EQUIPMENT,exhaust fan repair,exhaust fan repair,1.0
exhaust fan repair and lathe work,MAINTENANCE – SHOP & EQUIPMENT,fan repair,fan repair,0.92
fan repair,MAINTENANCE – SHOP & EQUIPMENT,fan repair,fan repair,1.0
frame fixing,MAINTENANCE – SHOP & EQUIPMENT,frame fixing,frame fixing,1.0
fryer machine,MAINTENANCE – SHOP & EQUIPMENT,fryer repair,fryer repair,0.64
fryer plug & socket changing,MAINTENANCE – SHOP & EQUIPMENT,fryer plug changing,fryer plug changing,0.9
fryer plug changing,MAINTENANCE – SHOP & EQUIPMENT,fryer plug changing,fryer plug changing,1.0
fryer repair,MAINTENANCE – SHOP & EQUIPMENT,fryer repair,fryer repair,1.0
kitchen door work,MAINTENANCE – SHOP & EQUIPMENT,kitchen door work,kitchen door work,1.0
kitchen door work(manoj),MAINTENANCE – SHOP & EQUIPMENT,kitchen door work,kitchen door work,0.92
kitchen electric work,MAINTENANCE – SHOP & EQUIPMENT,kitchen door work,kitchen door work,0.7368
kitchen zink water tap work,MAINTENANCE – SHOP & EQUIPMENT,kitchen door work,kitchen door work,0.6364
led bulb  2pc,MAINTENANCE – SHOP & EQUIPMENT,led bulb,led bulb,0.92
make line welding work,MAINTENANCE – SHOP & EQUIPMENT,chair welding,chair welding,0.5714
mixer jar repair,MAINTENANCE – SHOP & EQUIPMENT,mixer jar repair,mixer jar repair,1.0
mixer repair,MAINTENANCE – SHOP & EQUIPMENT,mixer repair,mixer repair,1.0
new mixer jar,MAINTENANCE – SHOP & EQUIPMENT,mixer repair,mixer repair,0.64
nixer grinder repair,MAINTENANCE – SHOP & EQUIPMENT,mixer jar repair,mixer jar repair,0.7222
old mixer jar repair,MAINTENANCE – SHOP & EQUIPMENT,mixer jar repair,mixer jar repair,0.92
pa pro repair,MAINTENANCE – SHOP & EQUIPMENT,ac repair,ac repair,0.7273
panel LED light 6 pc with labour charges,MAINTENANCE – SHOP & EQUIPMENT,panel led light,panel led light,0.92
shutter paint,MAINTENANCE – SHOP & EQUIPMENT,shutter paint,shutter paint,1.0
sign board electric work,MAINTENANCE – SHOP & EQUIPMENT,sign board electric work,sign board electric work,1.0
spray paint,MAINTENANCE – SHOP & EQUIPMENT,shutter paint,shutter paint,0.6667
switch repairing,MAINTENANCE – SHOP & EQUIPMENT,switch repair,switch repair,0.92
tube light fitting,MAINTENANCE – SHOP & EQUIPMENT,tube light fitting,tube light fitting,1.0
wall fan repair,MAINTENANCE – SHOP & EQUIPMENT,fan repair,fan repair,0.92
water 20 ltr,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,water lab testing,0.5517
water can,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,water lab testing,0.6154
water lab testing,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,water lab testing,1.0
"water tank cap, plumber, cleaning expense",MAINTENANCE – SHOP & EQUIPMENT,water tank cleaning,water tank cleaning,0.9
water testing lab charges,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,water lab testing,0.95
weighing machine flipkart,MAINTENANCE – SHOP & EQUIPMENT,weighing machine repair,weighing machine repair,0.7917
weighing machine repair,MAINTENANCE – SHOP & EQUIPMENT,weighing machine repair,weighing machine repair,1.0
wooden pizza server,MAINTENANCE – SHOP & EQUIPMENT,wooden pizza server,wooden pizza server,1.0
Aqua supervision,MISCELLANEOUS / OTHER,aqua supervision,aqua supervision,1.0
Donation,MISCELLANEOUS / OTHER,donation,donation,1.0
JCB,MISCELLANEOUS / OTHER,jcb charges,jcb charges,0.95
Royalty,MISCELLANEOUS / OTHER,royalty,royalty,1.0
google sound POD fee,MISCELLANEOUS / OTHER,google sound pod fee,google sound pod fee,1.0
ladder rent,MISCELLANEOUS / OTHER,ladder rent,ladder rent,1.0
loocos common bill,MISCELLANEOUS / OTHER,common bill,common bill,0.92
loocos contribution for road to premise concrete work,MISCELLANEOUS / OTHER,contribution for road work,contribution for road work,0.9
miscellaneous expense,MISCELLANEOUS / OTHER,miscellaneous expense,miscellaneous expense,1.0
CPU service,OFFICE & ADMINISTRATION,cpu service,cpu service,1.0
Mobile cover screen guard,OFFICE & ADMINISTRATION,mobile cover,mobile cover,0.92
Mobile purchase,OFFICE & ADMINISTRATION,mobile purchase,mobile purchase,1.0
RCA Sterio cable,OFFICE & ADMINISTRATION,printer usb cable,printer usb cable,0.6061
Thermal Printer,OFFICE & ADMINISTRATION,thermal printer,thermal printer,1.0
UPS,OFFICE & ADMINISTRATION,ups,ups,1.0
Voucher Book,OFFICE & ADMINISTRATION,voucher book,voucher book,1.0
Voucher Book 3,OFFICE & ADMINISTRATION,voucher book,voucher book,0.9231
Voucher Book 3 & file folder,OFFICE & ADMINISTRATION,voucher book,voucher book,0.92
exercise book 2,OFFICE & ADMINISTRATION,exercise book,exercise book,0.9286
passion pro old repair,OFFICE & ADMINISTRATION,sound box repair,sound box repair,0.6316
passion pro repair,OFFICE & ADMINISTRATION,sound box repair,sound box repair,0.7059
pen drive,OFFICE & ADMINISTRATION,pen drive,pen drive,1.0
printer usb cable,OFFICE & ADMINISTRATION,printer usb cable,printer usb cable,1.0
sound box repair,OFFICE & ADMINISTRATION,sound box repair,sound box repair,1.0
stationery,OFFICE & ADMINISTRATION,stationery,stationery,1.0
stock register,OFFICE & ADMINISTRATION,stock register,stock register,1.0
2000pc menu distribution,PACKAGING & DISPOSABLES,menu distribution,menu distribution,0.92
BUTTER PAPER,PACKAGING & DISPOSABLES,butter paper,butter paper,1.0
Butter Paper,PACKAGING & DISPOSABLES,butter paper,butter paper,1.0
KOT ROLLS,PACKAGING & DISPOSABLES,kot rolls,kot rolls,1.0
Lucky Draw Coupon,PACKAGING & DISPOSABLES,lucky draw coupon,lucky draw coupon,1.0
Mudra Paper for Bank,PACKAGING & DISPOSABLES,paper bag,paper bag,0.5517
Paper Bag,PACKAGING & DISPOSABLES,paper bag,paper bag,1.0
"Paper Bag( LG ,MED, REG)",PACKAGING & DISPOSABLES,paper bag,paper bag,0.92
Paper Roll,PACKAGING & DISPOSABLES,paper roll,paper roll,1.0
Transportation Charge eng veg paper bags,PACKAGING & DISPOSABLES,paper bag,paper bag,0.92
Transportation Charge paper bags,PACKAGING & DISPOSABLES,paper bag,paper bag,0.92
Wooden Plates,PACKAGING & DISPOSABLES,wooden plates,wooden plates,1.0
amazone delivery,PACKAGING & DISPOSABLES,delivery bag,delivery bag,0.5714
cling film,PACKAGING & DISPOSABLES,cling film,cling film,1.0
delivery bag transport,PACKAGING & DISPOSABLES,delivery bag,delivery bag,0.92
hose pipe 1 roll,PACKAGING & DISPOSABLES,paper roll,paper roll,0.6154
menu card distribution news paper,PACKAGING & DISPOSABLES,menu distribution,menu distribution,0.9
menu printing MUSTAFA,PACKAGING & DISPOSABLES,menu printing,menu printing,0.92
paper glass straw,PACKAGING & DISPOSABLES,paper glass,paper glass,0.92
printing (QR Code),PACKAGING & DISPOSABLES,menu printing,menu printing,0.5517
safa menu printing,PACKAGING & DISPOSABLES,menu printing,menu printing,0.92
wodden fork 4 pkt,PACKAGING & DISPOSABLES,wooden fork,wooden fork,0.7143
Adjustment,PARTNER & CAPITAL TRANSACTIONS,adjustment,adjustment,1.0
Amount mismatch to verify,PARTNER & CAPITAL TRANSACTIONS,amount mismatch to verify,amount mismatch to verify,1.0
Arjun Staff Advance,PARTNER & CAPITAL TRANSACTIONS,manoj advance,manoj advance,0.625
Bank Deposit,PARTNER & CAPITAL TRANSACTIONS,bank deposit,bank deposit,1.0
Bike Advance,PARTNER & CAPITAL TRANSACTIONS,bike advance,bike advance,1.0
Cash Tray,PARTNER & CAPITAL TRANSACTIONS,cash shortage,cash shortage,0.6364
Cash missing,PARTNER & CAPITAL TRANSACTIONS,cash missing,cash missing,1.0
Credited To Bank,PARTNER & CAPITAL TRANSACTIONS,credited to bank,credited to bank,1.0
Deposited To Bank,PARTNER & CAPITAL TRANSACTIONS,deposited to bank,deposited to bank,1.0
Inverter Advance Development,PARTNER & CAPITAL TRANSACTIONS,inverter advance development,inverter advance development,1.0
Manoj Advance,PARTNER & CAPITAL TRANSACTIONS,manoj advance,manoj advance,1.0
Manoj Partner Share,PARTNER & CAPITAL TRANSACTIONS,partner share,partner share,0.92
Missing Amount,PARTNER & CAPITAL TRANSACTIONS,missing amount,missing amount,1.0
No Change,PARTNER & CAPITAL TRANSACTIONS,no change,no change,1.0
No change,PARTNER & CAPITAL TRANSACTIONS,no change,no change,1.0
Opening Balance,PARTNER & CAPITAL TRANSACTIONS,opening balance,opening balance,1.0
Opening Bank Balance,PARTNER & CAPITAL TRANSACTIONS,opening bank balance,opening bank balance,1.0
Partner share Manoj,PARTNER & CAPITAL TRANSACTIONS,partner share,partner share,0.92
Partners Share,PARTNER & CAPITAL TRANSACTIONS,partners share,partners share,1.0
Sukumaran Share,PARTNER & CAPITAL TRANSACTIONS,sukumaran share,sukumaran share,1.0
cash short,PARTNER & CAPITAL TRANSACTIONS,cash short,cash short,1.0
cash shortage,PARTNER & CAPITAL TRANSACTIONS,cash shortage,cash shortage,1.0
Electrical bill,RENT & UTILITIES,electrical bill,electrical bill,1.0
Generator Rent 3days,RENT & UTILITIES,rent,rent,0.92
Internet Connection,RENT & UTILITIES,internet connection,internet connection,1.0
Internet LAN Cable,RENT & UTILITIES,lan cable,lan cable,0.92
Jio Mobile Recharge,RENT & UTILITIES,jio mobile recharge,jio mobile recharge,1.0
Maintnence (ELectrical),RENT & UTILITIES,electrical bill,electrical bill,0.5556
Mobile Recharge,RENT & UTILITIES,mobile recharge,mobile recharge,1.0
Neft Transaction Charges,RENT & UTILITIES,neft transaction charges,neft transaction charges,1.0
Pos Machine Charges,RENT & UTILITIES,pos machine charges,pos machine charges,1.0
RO machine changing of filters,RENT & UTILITIES,pos machine charges,pos machine charges,0.6531
RO machine filter charge and service,RENT & UTILITIES,pos machine charges,pos machine charges,0.6182
Recharge,RENT & UTILITIES,mobile recharge,mobile recharge,0.92
Rent,RENT & UTILITIES,rent,rent,1.0
Room Rent,RENT & UTILITIES,room rent,room rent,1.0
Sms Charges,RENT & UTILITIES,sms charges,sms charges,1.0
Staff Room Rent,RENT & UTILITIES,staff room rent,staff room rent,1.0
airtel mobile recharge,RENT & UTILITIES,mobile recharge,mobile recharge,0.92
common electricity bill,RENT & UTILITIES,common electricity bill,common electricity bill,1.0
gafoor electrical,RENT & UTILITIES,electrical bill,electrical bill,0.625
loocos common current bill,RENT & UTILITIES,rent,rent,0.92
rent,RENT & UTILITIES,rent,rent,1.0
shop Rent,RENT & UTILITIES,shop rent,shop rent,1.0
staff room current bill,RENT & UTILITIES,rent,rent,0.92
staff room elect.bill,RENT & UTILITIES,staff room electric bill,staff room electric bill,0.9333
staff room electric work,RENT & UTILITIES,staff room electric bill,staff room electric bill,0.8333
ARjun,SALARIES (MONTHLY PAYMENTS),arjun salary,arjun salary,0.92
Abhijeeth,SALARIES (MONTHLY PAYMENTS),abhijeeth salary,abhijeeth salary,0.92
Abhijeeth Salary,SALARIES (MONTHLY PAYMENTS),abhijeeth salary,abhijeeth salary,1.0
Ajay salary,SALARIES (MONTHLY PAYMENTS),ajay salary,ajay salary,1.0
Akshay Salary,SALARIES (MONTHLY PAYMENTS),akshay salary,akshay salary,1.0
Anas Salary,SALARIES (MONTHLY PAYMENTS),anas salary,anas salary,1.0
Anas Salary july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Anas Slary,SALARIES (MONTHLY PAYMENTS),anas salary,anas salary,0.9524
Anis Salary,SALARIES (MONTHLY PAYMENTS),anis salary,anis salary,1.0
Ansari salary,SALARIES (MONTHLY PAYMENTS),ansari salary,ansari salary,1.0
Anshid salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Arjun Cook Salary,SALARIES (MONTHLY PAYMENTS),arjun cook salary,arjun cook salary,1.0
Arjun Staff Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Arjun Staff Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Ashif Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Ashik Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Athif Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Athif Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
FOR SALARY,SALARIES (MONTHLY PAYMENTS),salary,salary,0.95
Faris Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Fasil Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Fasil Salary,SALARIES (MONTHLY PAYMENTS),fasil salary,fasil salary,1.0
Habib Salary,SALARIES (MONTHLY PAYMENTS),habib salary,habib salary,1.0
Haridasan Salary,SALARIES (MONTHLY PAYMENTS),haridasan salary,haridasan salary,1.0
Haridasan advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hashim Salary,SALARIES (MONTHLY PAYMENTS),hashim salary,hashim salary,1.0
Hashim Salary adv,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hashim Salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hashim Salary for july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hisham salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hisham salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Hissan Salary,SALARIES (MONTHLY PAYMENTS),hissan salary,hissan salary,1.0
Jayan Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Jithu Salary,SALARIES (MONTHLY PAYMENTS),jithu salary,jithu salary,1.0
Kaif salary,SALARIES (MONTHLY PAYMENTS),kaif salary,kaif salary,1.0
Mahendra,SALARIES (MONTHLY PAYMENTS),mahendra salary,mahendra salary,0.92
Mahendra Cook Salary,SALARIES (MONTHLY PAYMENTS),mahendra cook salary,mahendra cook salary,1.0
Mahendra Salary,SALARIES (MONTHLY PAYMENTS),mahendra salary,mahendra salary,1.0
Mahendra Salary adv,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Marshad Salary,SALARIES (MONTHLY PAYMENTS),marshad salary,marshad salary,1.0
Marshad salary,SALARIES (MONTHLY PAYMENTS),marshad salary,marshad salary,1.0
Mehboob Salary,SALARIES (MONTHLY PAYMENTS),mehboob salary,mehboob salary,1.0
Muhsin salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Mushin salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Najah Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Nihal salary,SALARIES (MONTHLY PAYMENTS),nihal salary,nihal salary,1.0
Nishal Salary,SALARIES (MONTHLY PAYMENTS),nishal salary,nishal salary,1.0
Ranjith Salary,SALARIES (MONTHLY PAYMENTS),ranjith salary,ranjith salary,1.0
Rauf Salary,SALARIES (MONTHLY PAYMENTS),rauf salary,rauf salary,1.0
Rauf Salary adv,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sadik Salary,SALARIES (MONTHLY PAYMENTS),sadik salary,sadik salary,1.0
Sajad Salary,SALARIES (MONTHLY PAYMENTS),sajad salary,sajad salary,1.0
Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,1.0
Salu salary,SALARIES (MONTHLY PAYMENTS),salu salary,salu salary,1.0
Sanah salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sanoj Salary,SALARIES (MONTHLY PAYMENTS),sanoj salary,sanoj salary,1.0
Santhosh Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Santhosh Salary,SALARIES (MONTHLY PAYMENTS),santhosh salary,santhosh salary,1.0
Shabir Salary,SALARIES (MONTHLY PAYMENTS),shabir salary,shabir salary,1.0
Shaheel salary settlement,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shamil Salary Advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shamil Salary settlment,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shathru Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shathru Medical,SALARIES (MONTHLY PAYMENTS),shathru salary,shathru salary,0.6897
Shathru Salary,SALARIES (MONTHLY PAYMENTS),shathru salary,shathru salary,1.0
Shathru Salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shibil Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shibil Salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shihab Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shuaib Salary,SALARIES (MONTHLY PAYMENTS),shuaib salary,shuaib salary,1.0
Shyam Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Shyam Salary,SALARIES (MONTHLY PAYMENTS),shyam salary,shyam salary,1.0
Sifan Vegitable,SALARIES (MONTHLY PAYMENTS),sifan salary,sifan salary,0.5926
Siyad Salary,SALARIES (MONTHLY PAYMENTS),siyad salary,siyad salary,1.0
Siyad Salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sonu Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sonu Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sukumaran Advance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Sukumaran Salary,SALARIES (MONTHLY PAYMENTS),sukumaran salary,sukumaran salary,1.0
Sukumaran Salary For May,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Swalih salary,SALARIES (MONTHLY PAYMENTS),swalih salary,swalih salary,1.0
Syam Adavance Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
Syam Salary,SALARIES (MONTHLY PAYMENTS),shyam salary,shyam salary,0.9565
Vipin Salary,SALARIES (MONTHLY PAYMENTS),vipin salary,vipin salary,1.0
Yasir Salary,SALARIES (MONTHLY PAYMENTS),yasir salary,yasir salary,1.0
ajay salary,SALARIES (MONTHLY PAYMENTS),ajay salary,ajay salary,1.0
akshayjith salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
anas salary,SALARIES (MONTHLY PAYMENTS),anas salary,anas salary,1.0
anas salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ansil salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
arun salary,SALARIES (MONTHLY PAYMENTS),arjun salary,arjun salary,0.9565
arun salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
arun salary for july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
arun salary settlement,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
asdhif salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ashif salary adance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ashik salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ashik salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ashik salary settlement,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
ashiq Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
asif salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
hashi aug salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
hisham salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
hisham salary(13th & 14th),SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
indrajith salary,SALARIES (MONTHLY PAYMENTS),indrajith salary,indrajith salary,1.0
jishnu 2 days salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
jishnu salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
mahendra cleaning work,SALARIES (MONTHLY PAYMENTS),mahendra salary,mahendra salary,0.6486
mahendra salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
manoj salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
manoj salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
marshad salary,SALARIES (MONTHLY PAYMENTS),marshad salary,marshad salary,1.0
nafeeh salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
nahendra salary adance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
pashupathi salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
pashupathy salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
pashupathy salary adv,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
pashupathy salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
pashupathy salary for july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
passhupathy salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
radhakrishnan salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
radhakrishnan salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
radhakrishnan salary july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
rauf May 24 salary settlement,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
rauf salary,SALARIES (MONTHLY PAYMENTS),rauf salary,rauf salary,1.0
rauf salary April,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
rauf salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
salary adance ANAS,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
salary advance satru,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
salim salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
sanah salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
sanah salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
sankar salary,SALARIES (MONTHLY PAYMENTS),sankar salary,sankar salary,1.0
sankar salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shabeer salary 2 days,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shafeer salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shaheel salary,SALARIES (MONTHLY PAYMENTS),shaheel salary,shaheel salary,1.0
shaheel salary  july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shaheel salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shatru salary,SALARIES (MONTHLY PAYMENTS),shathru salary,shathru salary,0.963
shatru salary APRIL 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shatru salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shatru salary dec 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shatru salary for july 24,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shefeer salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shibil Advace Salary,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shibil salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
shohaib salary,SALARIES (MONTHLY PAYMENTS),shohaib salary,shohaib salary,1.0
shyam salary advance,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
siyad sal ad,SALARIES (MONTHLY PAYMENTS),siyad salary,siyad salary,0.8333
towards salary shathru and nahendra,SALARIES (MONTHLY PAYMENTS),salary,salary,0.92
